city,year,weekofyear,total_cases
sj,2011,23,22
sj,2011,24,24
sj,2011,25,21
sj,2011,26,42
sj,2011,27,26
sj,2011,28,43
sj,2011,29,43
sj,2011,30,46
sj,2011,31,46
sj,2011,32,46
sj,2011,33,38
sj,2011,34,62
sj,2011,35,47
sj,2011,36,47
sj,2011,37,50
sj,2011,38,54
sj,2011,39,40
sj,2011,40,55
sj,2011,41,69
sj,2011,42,33
sj,2011,43,48
sj,2011,44,54
sj,2011,45,43
sj,2011,46,42
sj,2011,47,35
sj,2011,48,39
sj,2011,49,34
sj,2011,50,36
sj,2011,51,35
sj,2012,52,26
sj,2012,1,21
sj,2012,2,25
sj,2012,3,18
sj,2012,4,20
sj,2012,5,23
sj,2012,6,17
sj,2012,7,18
sj,2012,8,13
sj,2012,9,14
sj,2012,10,15
sj,2012,11,19
sj,2012,12,13
sj,2012,13,20
sj,2012,14,20
sj,2012,15,19
sj,2012,16,20
sj,2012,17,20
sj,2012,18,24
sj,2012,19,31
sj,2012,20,27
sj,2012,21,20
sj,2012,22,42
sj,2012,23,28
sj,2012,24,44
sj,2012,25,42
sj,2012,26,39
sj,2012,27,62
sj,2012,28,71
sj,2012,29,89
sj,2012,30,90
sj,2012,31,72
sj,2012,32,48
sj,2012,33,71
sj,2012,34,63
sj,2012,35,65
sj,2012,36,57
sj,2012,37,52
sj,2012,38,73
sj,2012,39,47
sj,2012,40,66
sj,2012,41,75
sj,2012,42,83
sj,2012,43,81
sj,2012,44,60
sj,2012,45,59
sj,2012,46,50
sj,2012,47,56
sj,2012,48,66
sj,2012,49,60
sj,2012,50,53
sj,2012,51,49
sj,2013,1,41
sj,2013,2,34
sj,2013,3,30
sj,2013,4,21
sj,2013,5,26
sj,2013,6,22
sj,2013,7,16
sj,2013,8,16
sj,2013,9,22
sj,2013,10,14
sj,2013,11,15
sj,2013,12,16
sj,2013,13,19
sj,2013,14,21
sj,2013,15,15
sj,2013,16,15
sj,2013,17,33
iq,2010,26,7
iq,2010,27,5
iq,2010,28,8
iq,2010,29,2
iq,2010,30,2
iq,2010,31,5
iq,2010,32,3
iq,2010,33,5
iq,2010,34,4
iq,2010,35,6
iq,2010,36,6
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,5
iq,2010,42,6
iq,2010,43,9
iq,2010,44,12
iq,2010,45,7
iq,2010,46,8
iq,2010,47,9
iq,2010,48,9
iq,2010,49,11
iq,2010,50,9
iq,2010,51,5
iq,2011,52,8
iq,2011,1,6
iq,2011,2,8
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,8
iq,2011,7,8
iq,2011,8,9
iq,2011,9,8
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,10
iq,2011,14,8
iq,2011,15,8
iq,2011,16,8
iq,2011,17,10
iq,2011,18,10
iq,2011,19,5
iq,2011,20,8
iq,2011,21,9
iq,2011,22,7
iq,2011,23,6
iq,2011,24,8
iq,2011,25,5
iq,2011,26,7
iq,2011,27,7
iq,2011,28,3
iq,2011,29,4
iq,2011,30,5
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,2
iq,2011,35,3
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,9
iq,2011,40,6
iq,2011,41,8
iq,2011,42,13
iq,2011,43,8
iq,2011,44,7
iq,2011,45,8
iq,2011,46,9
iq,2011,47,8
iq,2011,48,10
iq,2011,49,10
iq,2011,50,9
iq,2011,51,10
iq,2012,52,11
iq,2012,1,9
iq,2012,2,9
iq,2012,3,7
iq,2012,4,7
iq,2012,5,9
iq,2012,6,10
iq,2012,7,8
iq,2012,8,7
iq,2012,9,6
iq,2012,10,8
iq,2012,11,7
iq,2012,12,6
iq,2012,13,8
iq,2012,14,7
iq,2012,15,12
iq,2012,16,11
iq,2012,17,9
iq,2012,18,8
iq,2012,19,4
iq,2012,20,9
iq,2012,21,6
iq,2012,22,6
iq,2012,23,6
iq,2012,24,3
iq,2012,25,5
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,5
iq,2012,30,2
iq,2012,31,4
iq,2012,32,3
iq,2012,33,3
iq,2012,34,4
iq,2012,35,5
iq,2012,36,4
iq,2012,37,5
iq,2012,38,4
iq,2012,39,5
iq,2012,40,4
iq,2012,41,10
iq,2012,42,6
iq,2012,43,11
iq,2012,44,9
iq,2012,45,9
iq,2012,46,13
iq,2012,47,14
iq,2012,48,15
iq,2012,49,10
iq,2012,50,10
iq,2012,51,12
iq,2013,1,11
iq,2013,2,6
iq,2013,3,8
iq,2013,4,11
iq,2013,5,10
iq,2013,6,12
iq,2013,7,10
iq,2013,8,10
iq,2013,9,9
iq,2013,10,10
iq,2013,11,11
iq,2013,12,15
iq,2013,13,11
iq,2013,14,9
iq,2013,15,8
iq,2013,16,12
iq,2013,17,8
iq,2013,18,3
iq,2013,19,11
iq,2013,20,8
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,6
iq,2013,25,5
iq,2013,26,6
